Species_Name,Disease_Name,DiseaseSymptoms
Dogs,Acariasis of Bees,"Abdomen Pelvic or perineal foreign body, anemia, Abnormal Posture"
Dogs,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Dogs,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Dogs,Canine Distemper,"Dullness, Depression, Diphasic fever, Ocular and nasal discharge, frequent cutaneous eruptions, Vomition, Abdominal pain, Haemorrhagic Enteritis in Pups, Restlessness, Excitement, Chewing Movements, Excessive Salivation and Convulsions"
Dogs,Canine Hepatitis,
Dogs,Canine influenza,attacking
Dogs,Canine Leptosprosis,
Dogs,Corona Virus Infection,
Dogs,Demodicosis,
Dogs,Dermatophytosis (Ring Worm),
Dogs,Hepatitis,
Dogs,Hydatid Disease,
Dogs,Infectious Canine Hepatitis,"Anorexia, Vomition, diarrhea and convulsion, High rise of temperature (105F)"
Dogs,Others,
Dogs,Parvovirus Infection,
Dogs,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Dogs,Scabies,"Decreased milk and meat production, Decreased growth rate, Can transmit bacteril, Viral, Irritation/itching, Anaemia, Loss of body weight, Restlessness, Loss of hair i.e. alopecia"
Dogs,Toxic Case,
Dogs,Toxoplasmosis,
Equidae,African Horse Sickness,
Equidae,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Equidae,Bovine Brucellosis (B. Abortus),"arthritis, Abortion in third trimester, Orchitis"
Equidae,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Equidae,Contagious Equine Metritis,
Equidae,Dermatophytosis (Ring Worm),
Equidae,Dourine,"Pyrexia, Mummification and local oedema of the genitalia and mammary glands, knuckling of the joints, Incoordination, Oedematous cutaneous eruptions, Facial Paralysis, ocular lesions, Anaemia, Emaciation, A pathognomonic sign is the oedematous plaque consisting of an elevated lesion in the skin, upto 5-8cm in diameter and 1cm thick"
Equidae,Equine colic,
Equidae,Equine Encephalomyelitis (Western),
Equidae,Equine Infectious Anaemia,
Equidae,Equine Rhinopneumonitis,
Equidae,Equine Viral Arteritis,
Equidae,Glanders,"Chronic nasal discharge, Cough, Dyspnea, Ulcers on nasal septum"
Equidae,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Equidae,Hydatid Disease,
Equidae,Others,
Equidae,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Equidae,Ringworm,
Equidae,Strangles,
Equidae,Toxic Case,
Equidae,Toxoplasmosis,
Equidae,Trypansomiasis (Surra),
Equidae,Venezuelan Equine Encephalomyelitis,
Equidae,Vesicular Stomatities (VS),"high rise of temperature within 12 hrs, Vesicular lesions containing serious fluids on the mouth, foot and inter digital space,udder, teats"
Goats,Aflatoxicosis,"Retarted growth, Anorexia, Ruffled feathers, Anaemia, Ascites, Ataxia"
Goats,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Goats,Aujeszky's Disease (Pseudo rabies),
Goats,Black Leg/Black Quarter,"focal gangrenous, emphysematous myositis, loss of appetite, high mortality, crepitus swelling over thigh, upon incision darkish brown fluid oozes out, Fever(106-108*F), Lameness in affected leg, Creptating swelling over hip, Creptating swelling over back, Creptating swelling over Shoulder"
Goats,Bluetounge,"High rise of Temperature, salivation and lacrimation, Drooling of saliva, muzzles turns dry and burnt appearance, neck & back crack, cyanotic and bluish appearance of tongue, Abortion, udder swollen & ulceration in teat, Swelling of Lips, Tongue and Jaw, Fever, Nasal Discharge, lameness, Enteritis"
Goats,Botulism,"Progressive muscle weakness, Paralysis affecting limbs head & neck incoordination, Inability to rise & lifthed, Chew & drooling of saliva"
Goats,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Goats,Brucellosis (Brucella Melitensis),
Goats,Brucellosis (Brucella suis),
Goats,Campylobacteriosis (Epizootic abortion),"Abortion in the the 1st trimester, It is sexully transmitted diseases"
Goats,Caprine Arthritis / Encephalitis,
Goats,Coccidiosis,
Goats,Coenurosis (GID),
Goats,Contagious Caprine Pleuropneumonia,"Anorexia, Dullness, Depression, Nasal Discharge, abdominal respiration, fever and dry plain cough"
Goats,Contagious Ecthyma,
Goats,Crimean Congo haemorrhagic fever,
Goats,Dermatophytosis (Ring Worm),
Goats,Enterotoxaemia,
Goats,Enzootic abortion of ewes (Ovine Chlamydiasis),
Goats,Epizootic Haemorrhagic disease,
Goats,Equine encephalomyelitis (Eastern),
Goats,Fascioliasis,
Goats,Foot and Mouth Disease (FMD),"Diseases causes high rate of morbidity (100%) in all age groups and low mortality(2-5%), Fever (104-106*F), Blisters/vesicles and ulcers on tongue, Dental pad and oral mucosa, Vesicles&ulcers devlop in interdigital space &on the coronet, Lameness Profuse Salivation, Blisters on the Nose, Salivation, vesicles/ulcers in oral and tongue epithelium, interdigital wound, lameness, vesicles/ulcers on udder, Blisters on the Tongue, Blisters on the lips, Depression, Hypersalivation, loss of appetite, Loss of Weight, Drop in Milk Production"
Goats,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Goats,Hydatid Disease,
Goats,Japanese Encephalitis,
Goats,Johne's Disease,
Goats,Leptospirosis,"Fever, icterus, Abortions"
Goats,Listeriosis,
Goats,Maedi-Visna,
Goats,Mastitis,"High Temperature, Hot and painful, Milk contains flakes or Blood clots, Changes on careful examination, Reduce milk yield, Fever, loss of appetite, Udder is hard and swollen"
Goats,Nairobi Sheep Disease,
Goats,New World Screwworm (Cochliomyia Hominivorax),
Goats,Old World Screwworm (Chrysomya bezziana),
Goats,Others,
Goats,Ovine Epididymitis (Brucella Ovis),
Goats,Paratuberculosis,"Chronic diarrhoea (may be continuous /intermittent), Faeces soft, Homogeneous fever is absent, Emmaciation"
Goats,Peste des petits ruminants (PPR)/Enterotaxaemia,"High rise of Temp(40-41 c), formation of small nodular outside of the lips around the muzzle, Severe Depression, loss of appetite, Respiratory Distress, Severe Diarrhea, Ocular Discharge, Fever, Dehydration, weight loss, Abortion, Diarrhoea, Nasal Discharge"
Goats,Q Fever,
Goats,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Goats,Rift Valleyfever,
Goats,Rinderpest,"Fever usually persists for 3 days, Shooting diarrhea, Dehydration, Necrotic ulcers or erosions on oral mucus membrane, Salivation"
Goats,Ringworm,
Goats,Salmonellosis (S. Abortus ovis),
Goats,Scrapie,
Goats,Sheep Pox and Goat Pox,"Appearance of pock lesion on the various sites of skin, Abortion, Fever, Nasal Discharge, Lambs(50%) Mortality Rate, pustules in perineum,inner thigh,over the skin and ear pinna, Conjunctivitis, Unpigmented Skin, Rhinitis"
Goats,Surra (Trypanosoma. Evansi),
Goats,Toxic Case,
Goats,Toxoplasmosis,
Goats,Traichinellosis,
Goats,Tularaemia,
Goats,Vesicular Stomatities (VS),"high rise of temperature within 12 hrs, Vesicular lesions containing serious fluids on the mouth, foot and inter digital space,udder, teats"
Goats,Vibriosis,
Goats,West Nile fever,
Hares/Rabbits,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Hares/Rabbits,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Hares/Rabbits,Others,
Hares/Rabbits,Toxic Case,
Sheep,Aflatoxicosis,"Retarted growth, Anorexia, Ruffled feathers, Anaemia, Ascites, Ataxia"
Sheep,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Sheep,Aujeszky's Disease (Pseudo rabies),
Sheep,Black Leg/Black Quarter,"focal gangrenous, emphysematous myositis, loss of appetite, high mortality, crepitus swelling over thigh, upon incision darkish brown fluid oozes out, Fever(106-108*F), Lameness in affected leg, Creptating swelling over hip, Creptating swelling over back, Creptating swelling over Shoulder"
Sheep,Bluetounge,"High rise of Temperature, salivation and lacrimation, Drooling of saliva, muzzles turns dry and burnt appearance, neck & back crack, cyanotic and bluish appearance of tongue, Abortion, udder swollen & ulceration in teat, Swelling of Lips, Tongue and Jaw, Fever, Nasal Discharge, lameness, Enteritis"
Sheep,Botulism,"Progressive muscle weakness, Paralysis affecting limbs head & neck incoordination, Inability to rise & lifthed, Chew & drooling of saliva"
Sheep,Bovine Brucellosis (B. Abortus),"arthritis, Abortion in third trimester, Orchitis"
Sheep,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Sheep,Brucellosis (Brucella Melitensis),
Sheep,Brucellosis (Brucella suis),
Sheep,Campylobacteriosis (Epizootic abortion),"Abortion in the the 1st trimester, It is sexully transmitted diseases"
Sheep,Caprine Arthritis / Encephalitis,
Sheep,Clostridial Diseases,
Sheep,Coccidiosis,"Signs include diarrhea (sometimes containing blood or mucus), dehydration, fever, inappetence, weight loss, anemia, wool breaking, and death. The ileum, cecum, and upper colon are usually most affected and may be thickened, edematous, and inflamed; sometimes, there is mucosal hemorrhage. Thick, white, opaque patches containing large numbers of E ovina oocysts may develop in the small intestine. Because oocysts are prevalent in feces of sheep of all ages, coccidiosis cannot be diagnosed based solely on finding oocysts. Peak oocyst counts of >100,000/g of feces have been reported in 8- to 12-wk-old lambs that appeared healthy. However, diarrhea with oocyst counts of a pathogenic species of >20,000/g is characteristic of coccidiosis in sheep. Immune complex glomerulonephritis has also been attributed to coccidiosis. Fly strike and secondary bacterial enteric infections may accompany coccidiosis in lambs."
Sheep,Coenurosis (GID),
Sheep,Contagious Agalactia,
Sheep,Contagious Caprine Pleuropneumonia,"Anorexia, Dullness, Depression, Nasal Discharge, abdominal respiration, fever and dry plain cough"
Sheep,Contagious Ecthyma,
Sheep,Crimean Congo haemorrhagic fever,
Sheep,Dermatophytosis (Ring Worm),
Sheep,Enterotoxaemia,
Sheep,Enzootic abortion of ewes (Ovine Chlamydiasis),
Sheep,Epizootic Haemorrhagic disease,
Sheep,Equine encephalomyelitis (Eastern),
Sheep,Fascioliasis,
Sheep,Foot and Mouth Disease (FMD),"Diseases causes high rate of morbidity (100%) in all age groups and low mortality(2-5%), Fever (104-106*F), Blisters/vesicles and ulcers on tongue, Dental pad and oral mucosa, Vesicles&ulcers devlop in interdigital space &on the coronet, Lameness Profuse Salivation, Blisters on the Nose, Salivation, vesicles/ulcers in oral and tongue epithelium, interdigital wound, lameness, vesicles/ulcers on udder, Blisters on the Tongue, Blisters on the lips, Depression, Hypersalivation, loss of appetite, Loss of Weight, Drop in Milk Production"
Sheep,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Sheep,Hydatid Disease,
Sheep,Japanese Encephalitis,
Sheep,Johne's Disease,
Sheep,Leptospirosis,"Fever, icterus, Abortions"
Sheep,Listeriosis,
Sheep,Maedi-Visna,
Sheep,Mastitis,"High Temperature, Hot and painful, Milk contains flakes or Blood clots, Changes on careful examination, Reduce milk yield, Fever, loss of appetite, Udder is hard and swollen"
Sheep,Nairobi Sheep Disease,
Sheep,New World Screwworm (Cochliomyia Hominivorax),
Sheep,Old World Screwworm (Chrysomya bezziana),
Sheep,Others,
Sheep,Ovine Epididymitis (Brucella Ovis),
Sheep,Paratuberculosis,"Chronic diarrhoea (may be continuous /intermittent), Faeces soft, Homogeneous fever is absent, Emmaciation"
Sheep,Peste des petits ruminants (PPR)/Enterotaxaemia,"High rise of Temp(40-41 c), formation of small nodular outside of the lips around the muzzle, Severe Depression, loss of appetite, Respiratory Distress, Severe Diarrhea, Ocular Discharge, Fever, Dehydration, weight loss, Abortion, Diarrhoea, Nasal Discharge"
Sheep,Q Fever,
Sheep,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Sheep,Rift Valleyfever,
Sheep,Rinderpest,"Fever usually persists for 3 days, Shooting diarrhea, Dehydration, Necrotic ulcers or erosions on oral mucus membrane, Salivation"
Sheep,Ringworm,
Sheep,Salmonellosis (S. Abortus ovis),
Sheep,Scrapie,
Sheep,Sheep Pox and Goat Pox,"Appearance of pock lesion on the various sites of skin, Abortion, Fever, Nasal Discharge, Lambs(50%) Mortality Rate, pustules in perineum,inner thigh,over the skin and ear pinna, Conjunctivitis, Unpigmented Skin, Rhinitis"
Sheep,Surra (Trypanosoma. Evansi),
Sheep,Toxic Case,
Sheep,Toxoplasmosis,
Sheep,Traichinellosis,
Sheep,Tularaemia,
Sheep,Vesicular Stomatities (VS),"high rise of temperature within 12 hrs, Vesicular lesions containing serious fluids on the mouth, foot and inter digital space,udder, teats"
Sheep,Vibriosis,
Sheep,West Nile fever,
Sheep,Wooden Tongue,"Swelling of tongue & lymph nodes of head region, Protrusion of tongue, Salivation"
Swine,Aflatoxicosis,"Retarted growth, Anorexia, Ruffled feathers, Anaemia, Ascites, Ataxia"
Swine,African Swine Fever,Abnormal color of the beak
Swine,Anthrax,"Vertigo & labored breathing, death usually takes place 2-3 days following infection, affected animal show dullness and depression, Dyspnea, Bleeding from natural orfices like Anus, lymph nodes in the neck region swollen or enlarged, Anorexia, Bloat, Distressed breathing & death, oozing of blood from natural orifices, oedema in the neck, brisket region, Abdomen & flank, Respiratory Distress, Jugular Pulse, Trembling, Grindindg of teeth, anemia, attacking, Depression, Muscle Tremors, High Fever, Difficulty in Breathing Collapses and Dies, Unclotted Blood Exudes, Sometimes Digestive Upsets and Colic, Fever, loss of appetite"
Swine,Aujeszky's Disease (Pseudo rabies),
Swine,Bluetounge,"High rise of Temperature, salivation and lacrimation, Drooling of saliva, muzzles turns dry and burnt appearance, neck & back crack, cyanotic and bluish appearance of tongue, Abortion, udder swollen & ulceration in teat, Swelling of Lips, Tongue and Jaw, Fever, Nasal Discharge, lameness, Enteritis"
Swine,Brucellosis (Brucella abortus),"Bursitis (Hygroma), Bull loose sexual desire and remain infertile, Infected animal may carry brucellosis for life, development of fistula of withers and poll-evil, abscess in sternum and fetlock leading to arthiritis, draining sores on the head and neck, abortion & birth of weak piglets, abortion ion bitch, mucoid discharges from genetalia of bitch, Scrotal dermatitis, Opaque vaginal discharge, Orchitis in bull, Abortion mailly in third trimester, Retention of placenta"
Swine,Brucellosis (Brucella Melitensis),
Swine,Brucellosis (Brucella suis),
Swine,Classical Swine Fever,
Swine,Coccidiosis,
Swine,Crimean Congo haemorrhagic fever,
Swine,Dermatophytosis (Ring Worm),
Swine,Epizootic Haemorrhagic disease,
Swine,Equine encephalomyelitis (Eastern),
Swine,Fascioliasis,
Swine,Foot and Mouth Disease (FMD),"Diseases causes high rate of morbidity (100%) in all age groups and low mortality(2-5%), Fever (104-106*F), Blisters/vesicles and ulcers on tongue, Dental pad and oral mucosa, Vesicles&ulcers devlop in interdigital space &on the coronet, Lameness Profuse Salivation, Blisters on the Nose, Salivation, vesicles/ulcers in oral and tongue epithelium, interdigital wound, lameness, vesicles/ulcers on udder, Blisters on the Tongue, Blisters on the lips, Depression, Hypersalivation, loss of appetite, Loss of Weight, Drop in Milk Production"
Swine,Haemorrhagic Speticaemia,"localization of oedema in the subcutaneous pocket of the head, neck, dewlap and brisket region, Oedematous swelling are hot & painful, depression and presence of multiple haemorrhages and signs of pneumonia, death occurs within 24 hrs, lameness, High fever (106-107*F), Profuse Nasal Discharge, Swelling of throt region (submandibular oedema), Difficult /Snoring Respiration, dewlap and brisket oedema, Fever"
Swine,Japanese Encephalitis,
Swine,Leptospirosis,"Fever, icterus, Abortions"
Swine,New World Screwworm (Cochliomyia Hominivorax),
Swine,Nipah Virus Encephalitis,
Swine,Old World Screwworm (Chrysomya bezziana),
Swine,Others,
Swine,Paratuberculosis,"Chronic diarrhoea (may be continuous /intermittent), Faeces soft, Homogeneous fever is absent, Emmaciation"
Swine,Porcine Cysticercosis,
Swine,Porcine Reproductive and Respiratory Syn,
Swine,PseudoRabies,
Swine,Q Fever,
Swine,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Swine,Rift Valleyfever,
Swine,Rinderpest,"Fever usually persists for 3 days, Shooting diarrhea, Dehydration, Necrotic ulcers or erosions on oral mucus membrane, Salivation"
Swine,Surra (Trypanosoma. Evansi),
Swine,Swine Vesicular Disease,
Swine,Toxic Case,
Swine,Toxoplasmosis,
Swine,Traichinellosis,
Swine,Transmissible Gastroenteritis,
Swine,Tularaemia,
Swine,Vesicular Stomatities (VS),"high rise of temperature within 12 hrs, Vesicular lesions containing serious fluids on the mouth, foot and inter digital space,udder, teats"
Swine,West Nile fever,
Wild Species,Ehrlichiosis,
Wild Species,Myxomatosis,
Wild Species,Others,
Wild Species,Rabbit Haemorrhagic Disease,
Wild Species,Rabies,"Furious form-change in behavior, Restlessness and excitement, Sexual excitement, Profuse salivation, Frequent and loud bellowing/barking with horse voice, Decreased sensation, Hanging of lower jaw and protrusion of tongue, Drooling of saliva, In-coordination in gait, Inability to swallow food and water, Progressive paralysis, Drooling saliva, bellowing, attacking, Incoordination, Paralysis, Anxious, Muscular Weakness, Depression"
Wild Species,Toxic Case,
